topic,total_posts,positive,neutral,negative,avg_polarity,avg_subjectivity,dominant_emotion,avg_upvotes,avg_comments
Housing/Real Estate,311,147,145,19,0.11608614366604382,0.37311801594921884,neutral,18.144694533762056,10.659163987138264
Technology/Gadgets,263,130,116,17,0.10535625732037793,0.3894495631715908,neutral,17.863117870722434,14.387832699619771
Education/Career,168,76,80,12,0.08671690160698718,0.3799456751314225,neutral,17.595238095238095,12.505952380952381
Travel/Transportation,124,61,57,6,0.10622516083564308,0.39418925020215356,neutral,15.89516129032258,11.758064516129032
Shopping/Commerce,122,59,56,7,0.12867633674851536,0.38504995640960127,neutral,10.28688524590164,8.032786885245901
Relationships/Social,113,64,42,7,0.12209349746969984,0.4575945341548165,joy,22.778761061946902,18.548672566371682
Food/Dining,110,61,45,4,0.1432701823158868,0.4256843282368739,joy,18.39090909090909,16.581818181818182
Infrastructure/Urban,95,47,42,6,0.08767101131148751,0.3977649149371421,neutral,18.83157894736842,12.052631578947368
Sports/Recreation,74,37,30,7,0.11087405664299049,0.4422852863877055,neutral,22.14864864864865,16.027027027027028
Politics/Government,63,26,34,3,0.08998831202019711,0.38055170133822136,neutral,28.666666666666668,18.41269841269841
Health/Medical,51,24,24,3,0.10926516496018446,0.3980856865387344,neutral,22.96078431372549,22.862745098039216
General,40,9,25,6,0.04966003787878788,0.25862373737373734,neutral,10.15,25.075
