topic,posts,positive,negative,neutral,avg_polarity,avg_upvotes,total_upvotes
General/Miscellaneous,183,26,8,149,0.03942154271047714,11.792349726775956,2158
Education/Career,26,5,2,19,0.025961538461538463,18.346153846153847,477
Travel/Transportation,24,1,1,22,0.034201388888888885,14.916666666666666,358
Shopping/Commerce,23,3,0,20,0.08115942028985508,8.782608695652174,202
Technology/Gadgets,17,2,1,14,0.024197860962566847,4.647058823529412,79
Food/Dining,16,5,2,9,0.1671875,5.0,80
Relationships/Social,12,2,1,9,0.0984375,16.0,192
Healthcare/Medical,7,3,1,3,0.14285714285714285,9.428571428571429,66
Housing/Real Estate,6,0,0,6,-0.011111111111111108,4.166666666666667,25
Services/Professional,4,0,1,3,-0.03125,2.25,9
Entertainment,4,1,0,3,0.1953125,7.0,28
Politics/Government,3,1,0,2,0.13333333333333333,7.666666666666667,23
