topic,posts,positive,negative,neutral,avg_polarity,avg_upvotes,total_upvotes
General/Miscellaneous,196,30,10,156,0.0652479514533086,17.086734693877553,3349
Shopping/Commerce,35,13,1,21,0.24172619047619048,9.2,322
Education/Career,29,6,1,22,0.11068965517241378,9.96551724137931,289
Travel/Transportation,25,4,2,19,0.05683333333333333,16.16,404
Technology/Gadgets,22,6,2,14,0.20378787878787874,7.7727272727272725,171
Food/Dining,21,9,2,10,0.22658730158730156,10.714285714285714,225
Healthcare/Medical,19,7,0,12,0.2710526315789473,8.947368421052632,170
Housing/Real Estate,16,3,1,12,0.029687499999999995,5.8125,93
Relationships/Social,15,6,0,9,0.1311111111111111,43.93333333333333,659
Services/Professional,12,4,1,7,0.23333333333333336,3.6666666666666665,44
Sports/Recreation,8,2,2,4,0.1,3.75,30
Entertainment,8,1,0,7,0.0875,4.5,36
